Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Name	Show Name	Tone Mode	CTCSS Tone	DCS Code	Step	Clock Shift	Tx Power	Narrow	Bank 1	Bank 2	Bank 3	Bank 4	Bank 5	Bank 6	Bank 7	Bank 8	Bank 9	Bank 10	Bank 11	Bank 12	Bank 13	Bank 14	Bank 15	Bank 16	Bank 17	Bank 18	Bank 19	Bank 20	Comment
11	146.94000	146.34000	600 kHz	Minus	FM	FT THO	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
12	146.70000	146.10000	600 kHz	Minus	FM	GREENS	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
13	146.86000	146.26000	600 kHz	Minus	FM	HELIOG	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
14	146.90000	146.30000	600 kHz	Minus	FM	HELIOG	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
15	146.98000	146.38000	600 kHz	Minus	FM	MT ELD	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
16	147.14000	147.74000	600 kHz	Plus	FM	LINK M	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
17	147.16000	146.56000	600 kHz	Minus	FM	MT LEM	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
18	147.20000	147.80000	600 kHz	Plus	FM	LINK P	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
19	147.24000	147.84000	600 kHz	Plus	FM	SHAW B	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
20	147.28000	146.68000	600 kHz	Minus	FM	GUTHRI	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
21	147.36000	147.96000	600 kHz	Plus	FM	LINK M	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
22	224.68000	223.08000	1.60 MHz	Minus	FM	BILTMO	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
23	224.90000	223.30000	1.60 MHz	Minus	FM	SHAW B	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
24	440.65000	445.65000	5.00 MHz	Plus	FM	HELIOG	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
25	440.70000	445.70000	5.00 MHz	Plus	FM	HELIOG	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
26	441.62500	446.62500	5.00 MHz	Plus	FM	SCOTTS	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
27	441.72500	446.72500	5.00 MHz	Plus	FM	WHITE	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
28	442.12500	447.12500	5.00 MHz	Plus	FM	LINK S	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
29	442.15000	447.15000	5.00 MHz	Plus	FM	LINK M	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
30	442.27500	447.27500	5.00 MHz	Plus	FM	LINK W	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
31	443.77500	448.77500	5.00 MHz	Plus	FM	SMITH	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
32	444.30000	449.30000	5.00 MHz	Plus	FM	BANK O	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
33	444.50000	449.50000	5.00 MHz	Plus	FM	MT ORD	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
34	447.82500	452.82500	5.00 MHz	Plus	FM	HELIOG	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
35	448.37500	443.37500	5.00 MHz	Minus	FM	LINK G	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
36	448.47500	443.47500	5.00 MHz	Minus	FM	MT ELD	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
37	448.87500	443.87500	5.00 MHz	Minus	FM	MT ELD	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
38	449.17500	454.17500	5.00 MHz	Plus	FM	TOWERS	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
39	449.52500	444.52500	5.00 MHz	Minus	FM	SHAW B	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
40	449.62500	444.62500	5.00 MHz	Minus	FM	BILTMO	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
41	147.24000	147.84000	600 kHz	Plus	FM	MONUME	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
42	147.12000	147.72000	600 kHz	Plus	FM	BLACK	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
43	147.12000	147.72000	600 kHz	Plus	FM	SMITH	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
44	441.72500	446.72500	5.00 MHz	Plus	FM	WHITE	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
45	449.18000	444.18000	5.00 MHz	Minus	FM	MONUME	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
46	146.94000	146.34000	600 kHz	Minus	FM	WHITE	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
47	146.68000	146.68000	600 kHz	Simplex	FM	SMITH	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
48	146.94000	146.94000	600 kHz	Simplex	FM	WHITE	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
49	441.72500	441.72500	5.00 MHz	Simplex	FM	WHITE	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
50	446.75000	446.75000	5.00 MHz	Simplex	FM	MONUME	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
51	147.12000	147.12000	600 kHz	Simplex	FM	BLACK	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
52	147.24000	147.24000	600 kHz	Simplex	FM	MONUME	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
53	145.47000	145.47000	600 kHz	Simplex	FM	"CEDAR	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
54	145.49000	145.49000	600 kHz	Simplex	FM	"UTAH	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
55	146.61000	146.61000	600 kHz	Simplex	FM	"ABAJO	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
56	146.64000	146.64000	600 kHz	Simplex	FM	"ST3 G	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
57	146.68000	146.68000	600 kHz	Simplex	FM	"BUMBL	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
58	146.70000	146.70000	600 kHz	Simplex	FM	"ST3 G	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
59	146.72000	146.72000	600 kHz	Simplex	FM	"SPENC	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
60	146.74000	146.74000	600 kHz	Simplex	FM	ST3 GE	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
61	146.76000	146.76000	600 kHz	Simplex	FM	BALD M	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
62	146.76000	146.76000	600 kHz	Simplex	FM	IRON M	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
63	146.80000	146.80000	600 kHz	Simplex	FM	BLOWHA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
64	146.82000	146.82000	600 kHz	Simplex	FM	UTAH H	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
65	146.88000	146.88000	600 kHz	Simplex	FM	KANAB	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
66	146.90000	146.90000	600 kHz	Simplex	FM	MOAB	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
67	146.91000	146.91000	600 kHz	Simplex	FM	SEEGMI	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
68	146.94000	146.94000	600 kHz	Simplex	FM	FRISCO	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
69	146.96000	146.96000	600 kHz	Simplex	FM	NAVAJO	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
70	146.98000	146.98000	600 kHz	Simplex	FM	CEDAR	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
71	147.06000	147.06000	600 kHz	Simplex	FM	CEDAR	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
72	147.08000	147.08000	600 kHz	Simplex	FM	MT ELL	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
73	147.16000	147.16000	600 kHz	Simplex	FM	MT DUT	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
74	147.26000	147.26000	600 kHz	Simplex	FM	HICKLE	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
75	147.26000	147.26000	600 kHz	Simplex	FM	ST GEO	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
76	147.30000	147.30000	600 kHz	Simplex	FM	JACOBS	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
77	147.36000	147.36000	600 kHz	Simplex	FM	CEDAR	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
78	147.36000	147.36000	600 kHz	Simplex	FM	KANAB	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
79	147.38000	147.38000	600 kHz	Simplex	FM	DELTA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
80	447.10000	447.10000	5.00 MHz	Simplex	FM	ABAJO	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
81	448.10000	448.10000	5.00 MHz	Simplex	FM	CEDAR	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
82	448.40000	448.40000	5.00 MHz	Simplex	FM	CEDAR	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
83	448.50000	448.50000	5.00 MHz	Simplex	FM	KOLOB	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
84	448.72500	448.72500	5.00 MHz	Simplex	FM	SCRUB	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
85	448.75000	448.75000	5.00 MHz	Simplex	FM	NAVAJO	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
86	449.32500	449.32500	5.00 MHz	Simplex	FM	SEEGMI	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
87	449.35000	449.35000	5.00 MHz	Simplex	FM	ST GEO	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
88	449.42500	449.42500	5.00 MHz	Simplex	FM	ST GEO	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
89	449.50000	449.50000	5.00 MHz	Simplex	FM	IRON M	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
90	449.52500	449.52500	5.00 MHz	Simplex	FM	WINCHE	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
91	449.70000	449.70000	5.00 MHz	Simplex	FM	SCHMUT	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
92	449.72500	449.72500	5.00 MHz	Simplex	FM	BLACK	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
93	449.75000	449.75000	5.00 MHz	Simplex	FM	UTAH H	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
94	449.85000	449.85000	5.00 MHz	Simplex	FM	KANAB	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
95	449.90000	449.90000	5.00 MHz	Simplex	FM	CEDAR	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
96	449.90000	449.90000	5.00 MHz	Simplex	FM	MEXICA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
97	449.92500	449.92500	5.00 MHz	Simplex	FM	NAVAJO	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
98	145.27000	145.27000	600 kHz	Simplex	FM	CHRIST	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
99	145.39000	145.39000	600 kHz	Simplex	FM	BLACK	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
100	146.79000	146.79000	600 kHz	Simplex	FM	APEX M	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
101	147.06000	147.06000	600 kHz	Simplex	FM	APEX M	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
102	147.09000	147.09000	600 kHz	Simplex	FM	BLACK	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
103	147.21000	147.21000	600 kHz	Simplex	FM	BOULDE	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
104	147.24000	147.24000	600 kHz	Simplex	FM	HENDER	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
105	147.30000	147.30000	600 kHz	Simplex	FM	CHRIST	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
106	147.39000	147.39000	600 kHz	Simplex	FM	BEACON	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
107	224.88000	224.88000	1.60 MHz	Simplex	FM	MT3 HU	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
108	447.00000	447.00000	5.00 MHz	Simplex	FM	FRENCH	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
109	447.30000	447.30000	5.00 MHz	Simplex	FM	"LAKE	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
110	447.32500	447.32500	5.00 MHz	Simplex	FM	FRENCH	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
111	449.30000	449.30000	5.00 MHz	Simplex	FM	HENDER	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
